suite,query_name,mode,disable_zonemap,disable_sketch,runs,avg_total_time_s,avg_row_groups_pruned_by_zonemap,avg_segments_pruned_by_zonemap,avg_segments_pruned_by_sketch,avg_vectors_processed
layout_selectivity,block_5_pct,zonemap_only,false,true,10,0.015660,77.000000,0.000000,0.000000,300.000000
layout_selectivity,block_90_pct,full,false,false,10,0.026690,8.000000,0.000000,0.000000,4440.000000
layout_selectivity,block_90_pct,none,true,true,10,0.028840,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,block_90_pct,sketch_only,true,false,10,0.027740,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,block_90_pct,zonemap_only,false,true,10,0.026310,8.000000,0.000000,0.000000,4440.000000
layout_selectivity,random_0_1_pct,full,false,false,10,0.033440,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_0_1_pct,none,true,true,10,0.031160,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_0_1_pct,sketch_only,true,false,10,0.030160,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_0_1_pct,zonemap_only,false,true,10,0.031280,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_10_pct,full,false,false,10,0.033400,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_10_pct,none,true,true,10,0.034000,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_10_pct,sketch_only,true,false,10,0.031810,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_10_pct,zonemap_only,false,true,10,0.033390,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_1_pct,full,false,false,10,0.031770,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_1_pct,none,true,true,10,0.032310,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_1_pct,sketch_only,true,false,10,0.032620,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_1_pct,zonemap_only,false,true,10,0.030820,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_20_pct,full,false,false,10,0.035710,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_20_pct,none,true,true,10,0.033710,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_20_pct,sketch_only,true,false,10,0.033820,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_20_pct,zonemap_only,false,true,10,0.033580,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_50_pct,full,false,false,10,0.035570,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_50_pct,none,true,true,10,0.034180,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_50_pct,sketch_only,true,false,10,0.034510,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_50_pct,zonemap_only,false,true,10,0.038010,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_5_pct,full,false,false,10,0.033530,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_5_pct,none,true,true,10,0.032720,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_5_pct,sketch_only,true,false,10,0.029690,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_5_pct,zonemap_only,false,true,10,0.031890,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_90_pct,full,false,false,10,0.033390,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_90_pct,none,true,true,10,0.031430,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_90_pct,sketch_only,true,false,10,0.031270,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,random_90_pct,zonemap_only,false,true,10,0.031140,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,sorted_0_1_pct,full,false,false,10,0.014980,81.000000,0.000000,0.000000,60.000000
layout_selectivity,sorted_0_1_pct,none,true,true,10,0.015740,81.000000,0.000000,0.000000,60.000000
layout_selectivity,sorted_0_1_pct,sketch_only,true,false,10,0.014850,81.000000,0.000000,0.000000,60.000000
layout_selectivity,sorted_0_1_pct,zonemap_only,false,true,10,0.014980,81.000000,0.000000,0.000000,60.000000
layout_selectivity,sorted_10_pct,full,false,false,10,0.015320,73.000000,0.000000,0.000000,540.000000
layout_selectivity,sorted_10_pct,none,true,true,10,0.016350,72.900000,0.000000,0.000000,546.000000
layout_selectivity,sorted_10_pct,sketch_only,true,false,10,0.015580,72.900000,0.000000,0.000000,546.000000
layout_selectivity,sorted_10_pct,zonemap_only,false,true,10,0.015630,73.000000,0.000000,0.000000,540.000000
layout_selectivity,sorted_1_pct,full,false,false,10,0.015880,81.000000,0.000000,0.000000,60.000000
layout_selectivity,sorted_1_pct,none,true,true,10,0.015870,81.000000,0.000000,0.000000,60.000000
layout_selectivity,sorted_1_pct,sketch_only,true,false,10,0.015110,80.900000,0.000000,0.000000,66.000000
layout_selectivity,sorted_1_pct,zonemap_only,false,true,10,0.015610,81.000000,0.000000,0.000000,60.000000
layout_selectivity,sorted_20_pct,full,false,false,10,0.017780,65.000000,0.000000,0.000000,1020.000000
layout_selectivity,sorted_20_pct,none,true,true,10,0.018520,65.000000,0.000000,0.000000,1020.000000
layout_selectivity,sorted_20_pct,sketch_only,true,false,10,0.018600,65.000000,0.000000,0.000000,1020.000000
layout_selectivity,sorted_20_pct,zonemap_only,false,true,10,0.018930,65.000000,0.000000,0.000000,1020.000000
layout_selectivity,sorted_50_pct,full,false,false,10,0.020880,41.000000,0.000000,0.000000,2460.000000
layout_selectivity,sorted_50_pct,none,true,true,10,0.027510,8.000000,0.000000,0.000000,4403.000000
layout_selectivity,sorted_50_pct,sketch_only,true,false,10,0.026680,8.000000,0.000000,0.000000,4403.000000
layout_selectivity,sorted_50_pct,zonemap_only,false,true,10,0.021960,41.000000,0.000000,0.000000,2460.000000
layout_selectivity,sorted_5_pct,full,false,false,10,0.016650,77.000000,0.000000,0.000000,300.000000
layout_selectivity,sorted_5_pct,none,true,true,10,0.016760,77.000000,0.000000,0.000000,300.000000
layout_selectivity,sorted_5_pct,sketch_only,true,false,10,0.015190,76.700000,0.000000,0.000000,318.000000
layout_selectivity,sorted_5_pct,zonemap_only,false,true,10,0.015450,77.000000,0.000000,0.000000,300.000000
layout_selectivity,sorted_90_pct,full,false,false,10,0.028320,8.000000,0.000000,0.000000,4440.000000
layout_selectivity,sorted_90_pct,none,true,true,10,0.027910,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,sorted_90_pct,sketch_only,true,false,10,0.028250,0.000000,0.000000,0.000000,4883.000000
layout_selectivity,sorted_90_pct,zonemap_only,false,true,10,0.028290,8.000000,0.000000,0.000000,4440.000000
ndv_predicates,high_between,full,false,false,10,0.014590,59.000000,0.000000,0.000000,1380.000000
ndv_predicates,high_between,none,true,true,10,0.017010,57.500000,0.000000,0.000000,1458.900000
ndv_predicates,high_between,sketch_only,true,false,10,0.015580,58.100000,0.000000,0.000000,1430.300000
ndv_predicates,high_between,zonemap_only,false,true,10,0.015520,59.000000,0.000000,0.000000,1380.000000
ndv_predicates,high_conjunct,full,false,false,10,0.021720,59.000000,0.000000,0.000000,1380.000000
ndv_predicates,high_conjunct,none,true,true,10,0.022070,59.000000,0.000000,0.000000,1380.000000
ndv_predicates,high_conjunct,sketch_only,true,false,10,0.022140,59.000000,0.000000,0.000000,1380.000000
ndv_predicates,high_conjunct,zonemap_only,false,true,10,0.020760,59.000000,0.000000,0.000000,1380.000000
ndv_predicates,high_eq,full,false,false,10,0.015420,63.000000,0.000000,0.000000,1140.000000
