suite,query_name,disable_zonemap,disable_sketch,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,vectors_processed
layout_selectivity,block_50_pct,false,false,full,4,0.0171,41,0,0,2460
layout_selectivity,block_90_pct,false,false,full,4,0.0252,8,0,0,4440
layout_selectivity,random_0_1_pct,false,false,full,5,0.0338,0,0,0,4883
layout_selectivity,random_1_pct,false,false,full,5,0.0334,0,0,0,4883
layout_selectivity,random_5_pct,false,false,full,5,0.0383,0,0,0,4883
layout_selectivity,random_10_pct,false,false,full,5,0.0335,0,0,0,4883
layout_selectivity,random_20_pct,false,false,full,5,0.0309,0,0,0,4883
layout_selectivity,random_50_pct,false,false,full,5,0.0300,0,0,0,4883
layout_selectivity,random_90_pct,false,false,full,5,0.0298,0,0,0,4883
layout_selectivity,sorted_0_1_pct,false,false,full,5,0.0131,81,0,0,60
layout_selectivity,sorted_1_pct,false,false,full,5,0.0158,81,0,0,60
layout_selectivity,sorted_5_pct,false,false,full,5,0.0153,77,0,0,300
layout_selectivity,sorted_10_pct,false,false,full,5,0.0166,73,0,0,540
layout_selectivity,sorted_20_pct,false,false,full,5,0.0194,65,0,0,1020
layout_selectivity,sorted_50_pct,false,false,full,5,0.0231,41,0,0,2460
layout_selectivity,sorted_90_pct,false,false,full,5,0.0320,8,0,0,4440
layout_selectivity,block_0_1_pct,false,false,full,5,0.0159,81,0,0,60
layout_selectivity,block_1_pct,false,false,full,5,0.0147,81,0,0,60
layout_selectivity,block_5_pct,false,false,full,5,0.0159,77,0,0,300
layout_selectivity,block_10_pct,false,false,full,5,0.0160,73,0,0,540
layout_selectivity,block_20_pct,false,false,full,5,0.0210,65,0,0,1020
layout_selectivity,block_50_pct,false,false,full,5,0.0187,41,0,0,2460
layout_selectivity,block_90_pct,false,false,full,5,0.0232,8,0,0,4440
layout_selectivity,random_0_1_pct,false,false,full,6,0.0339,0,0,0,4883
layout_selectivity,random_1_pct,false,false,full,6,0.0348,0,0,0,4883
layout_selectivity,random_5_pct,false,false,full,6,0.0297,0,0,0,4883
layout_selectivity,random_10_pct,false,false,full,6,0.0375,0,0,0,4883
layout_selectivity,random_20_pct,false,false,full,6,0.0370,0,0,0,4883
layout_selectivity,random_50_pct,false,false,full,6,0.0315,0,0,0,4883
layout_selectivity,random_90_pct,false,false,full,6,0.0302,0,0,0,4883
layout_selectivity,sorted_0_1_pct,false,false,full,6,0.0167,81,0,0,60
layout_selectivity,sorted_1_pct,false,false,full,6,0.0157,81,0,0,60
layout_selectivity,sorted_5_pct,false,false,full,6,0.0181,77,0,0,300
layout_selectivity,sorted_10_pct,false,false,full,6,0.0175,73,0,0,540
layout_selectivity,sorted_20_pct,false,false,full,6,0.0184,65,0,0,1020
layout_selectivity,sorted_50_pct,false,false,full,6,0.0228,41,0,0,2460
layout_selectivity,sorted_90_pct,false,false,full,6,0.0295,8,0,0,4440
layout_selectivity,block_0_1_pct,false,false,full,6,0.0167,81,0,0,60
layout_selectivity,block_1_pct,false,false,full,6,0.0119,81,0,0,60
layout_selectivity,block_5_pct,false,false,full,6,0.0116,77,0,0,300
layout_selectivity,block_10_pct,false,false,full,6,0.0129,73,0,0,540
layout_selectivity,block_20_pct,false,false,full,6,0.0201,65,0,0,1020
layout_selectivity,block_50_pct,false,false,full,6,0.0228,41,0,0,2460
layout_selectivity,block_90_pct,false,false,full,6,0.0255,8,0,0,4440
layout_selectivity,random_0_1_pct,false,false,full,7,0.0329,0,0,0,4883
layout_selectivity,random_1_pct,false,false,full,7,0.0304,0,0,0,4883
