suite,query_name,mode,disable_zonemap,disable_sketch,runs,avg_total_time_s,avg_row_groups_pruned_by_zonemap,avg_segments_pruned_by_zonemap,avg_segments_pruned_by_sketch,avg_vectors_processed
ndv_selectivity,low_5_pct,full,false,false,1,0.007700,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_5_pct,none,true,true,1,0.002600,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_5_pct,sketch_only,true,false,1,0.004200,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_5_pct,zonemap_only,false,true,1,0.004000,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,full,false,false,1,0.004000,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,none,true,true,1,0.002500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,sketch_only,true,false,1,0.004500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,low_90_pct,zonemap_only,false,true,1,0.003500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_10_pct,full,false,false,1,0.004100,0.000000,0.000000,3399.000000,1485.000000
ndv_selectivity,medium_10_pct,none,true,true,1,0.001500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_10_pct,sketch_only,true,false,1,0.006500,0.000000,0.000000,3399.000000,1485.000000
ndv_selectivity,medium_10_pct,zonemap_only,false,true,1,0.001500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_1_pct,full,false,false,1,0.007900,0.000000,0.000000,3836.000000,1048.000000
ndv_selectivity,medium_1_pct,none,true,true,1,0.001400,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_1_pct,sketch_only,true,false,1,0.001300,0.000000,0.000000,3836.000000,1048.000000
ndv_selectivity,medium_1_pct,zonemap_only,false,true,1,0.001800,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_20_pct,full,false,false,1,0.006900,0.000000,0.000000,2915.000000,1969.000000
ndv_selectivity,medium_20_pct,none,true,true,1,0.001400,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_20_pct,sketch_only,true,false,1,0.001500,0.000000,0.000000,2915.000000,1969.000000
ndv_selectivity,medium_20_pct,zonemap_only,false,true,1,0.001500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_50_pct,full,false,false,1,0.015100,0.000000,0.000000,1446.000000,3438.000000
ndv_selectivity,medium_50_pct,none,true,true,1,0.001900,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_50_pct,sketch_only,true,false,1,0.002700,0.000000,0.000000,1446.000000,3438.000000
ndv_selectivity,medium_50_pct,zonemap_only,false,true,1,0.002000,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_5_pct,full,false,false,1,0.003000,0.000000,0.000000,3641.000000,1243.000000
ndv_selectivity,medium_5_pct,none,true,true,1,0.001500,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_5_pct,sketch_only,true,false,1,0.001200,0.000000,0.000000,3641.000000,1243.000000
ndv_selectivity,medium_5_pct,zonemap_only,false,true,1,0.001600,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_90_pct,full,false,false,1,0.020000,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_90_pct,none,true,true,1,0.002700,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_90_pct,sketch_only,true,false,1,0.003300,0.000000,0.000000,0.000000,4883.000000
ndv_selectivity,medium_90_pct,zonemap_only,false,true,1,0.002700,0.000000,0.000000,0.000000,4883.000000
