suite,query_name,disable_zonemap,disable_segment_zonemap,disable_sketch,mode,run,total_time_s,row_groups_pruned_by_zonemap,segments_pruned_by_zonemap,segments_pruned_by_sketch,vectors_processed
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,7,0.0016,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,8,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,9,0.0015,0,0,4883,1
distribution_predicates,hotspot_between_hotspot_band,false,false,false,full,10,0.0014,0,0,4883,1
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,1,0.0299,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,2,0.0298,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,3,0.0306,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,4,0.0300,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,5,0.0318,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,6,0.0317,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,7,0.0314,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,8,0.0313,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,9,0.0315,31,0,610,2450
distribution_predicates,hotspot_between_nonhotspot_band,false,false,false,full,10,0.0310,31,0,610,2450
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,1,0.0024,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,2,0.0023,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,3,0.0025,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,4,0.0023,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,5,0.0025,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,6,0.0023,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,7,0.0023,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,8,0.0024,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,9,0.0024,71,0,0,660
distribution_predicates,uniform_eq_hotspot_value,false,false,true,zonemap_only,10,0.0024,71,0,0,660
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,1,0.0043,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,2,0.0040,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,3,0.0043,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,4,0.0040,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,5,0.0039,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,6,0.0042,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,7,0.0042,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,8,0.0039,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,9,0.0040,63,0,0,1140
distribution_predicates,uniform_eq_nonhotspot_value,false,false,true,zonemap_only,10,0.0039,63,0,0,1140
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,1,0.0041,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,2,0.0038,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,3,0.0040,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,4,0.0040,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,5,0.0039,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,6,0.0040,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,7,0.0039,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,8,0.0038,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,9,0.0039,71,0,0,660
distribution_predicates,uniform_between_hotspot_band,false,false,true,zonemap_only,10,0.0038,71,0,0,660
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,1,0.0057,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,2,0.0053,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,3,0.0056,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,4,0.0058,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,5,0.0056,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,6,0.0054,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,7,0.0056,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,8,0.0059,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,9,0.0054,63,0,0,1140
distribution_predicates,uniform_between_nonhotspot_band,false,false,true,zonemap_only,10,0.0053,63,0,0,1140
